MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,FailureReason
415,B4_K06_I02-04-06-07-08-09,Branch4,PowerREV,6,6,2/4/6/7/8/9,45/135/225/270/315/360,3,1.64038820320221,1,0,
416,B4_K06_I02-05-06-07-08-09,Branch4,PowerREV,6,6,2/5/6/7/8/9,45/180/225/270/315/360,3,2.03964463712676,1,0,
417,B4_K06_I03-04-05-06-07-08,Branch4,PowerREV,6,6,3/4/5/6/7/8,90/135/180/225/270/315,3,2.03964463712676,1,0,
418,B4_K06_I03-04-05-06-07-09,Branch4,PowerREV,6,6,3/4/5/6/7/9,90/135/180/225/270/360,3,1.64038820320221,1,0,
419,B4_K06_I03-04-05-06-08-09,Branch4,PowerREV,6,6,3/4/5/6/8/9,90/135/180/225/315/360,3,1.62089605899677,1,0,
420,B4_K06_I03-04-05-07-08-09,Branch4,PowerREV,6,6,3/4/5/7/8/9,90/135/180/270/315/360,3,1.63299316185545,1,0,
421,B4_K06_I03-04-06-07-08-09,Branch4,PowerREV,6,6,3/4/6/7/8/9,90/135/225/270/315/360,3,1.62089605899677,1,0,
422,B4_K06_I03-05-06-07-08-09,Branch4,PowerREV,6,6,3/5/6/7/8/9,90/180/225/270/315/360,3,1.64038820320221,1,0,
423,B4_K06_I04-05-06-07-08-09,Branch4,PowerREV,6,6,4/5/6/7/8/9,135/180/225/270/315/360,3,2.03964463712676,1,0,
424,B4_K07_I01-02-03-04-05-06-07,Branch4,PowerREV,7,7,1/2/3/4/5/6/7,0/45/90/135/180/225/270,3,1.59383575808277,1,0,
425,B4_K07_I01-02-03-04-05-06-08,Branch4,PowerREV,7,7,1/2/3/4/5/6/8,0/45/90/135/180/225/315,3,1.59383575808277,1,0,
426,B4_K07_I01-02-03-04-05-06-09,Branch4,PowerREV,7,6,1/2/3/4/5/6/9,0/45/90/135/180/225/360,3,1.98291847171118,1,0,
427,B4_K07_I01-02-03-04-05-07-08,Branch4,PowerREV,7,7,1/2/3/4/5/7/8,0/45/90/135/180/270/315,3,1.59383575808277,1,0,
428,B4_K07_I01-02-03-04-05-07-09,Branch4,PowerREV,7,6,1/2/3/4/5/7/9,0/45/90/135/180/270/360,3,1.7474907444751,1,0,
429,B4_K07_I01-02-03-04-05-08-09,Branch4,PowerREV,7,6,1/2/3/4/5/8/9,0/45/90/135/180/315/360,3,2.27803931585949,1,0,
430,B4_K07_I01-02-03-04-06-07-08,Branch4,PowerREV,7,7,1/2/3/4/6/7/8,0/45/90/135/225/270/315,3,1.59383575808277,1,0,
431,B4_K07_I01-02-03-04-06-07-09,Branch4,PowerREV,7,6,1/2/3/4/6/7/9,0/45/90/135/225/270/360,3,1.66386202630304,1,0,
432,B4_K07_I01-02-03-04-06-08-09,Branch4,PowerREV,7,6,1/2/3/4/6/8/9,0/45/90/135/225/315/360,3,1.88102963880639,1,0,
433,B4_K07_I01-02-03-04-07-08-09,Branch4,PowerREV,7,6,1/2/3/4/7/8/9,0/45/90/135/270/315/360,3,2.1992093289624,1,0,
434,B4_K07_I01-02-03-05-06-07-08,Branch4,PowerREV,7,7,1/2/3/5/6/7/8,0/45/90/180/225/270/315,3,1.59383575808277,1,0,
435,B4_K07_I01-02-03-05-06-07-09,Branch4,PowerREV,7,6,1/2/3/5/6/7/9,0/45/90/180/225/270/360,3,1.70953847804352,1,0,
436,B4_K07_I01-02-03-05-06-08-09,Branch4,PowerREV,7,6,1/2/3/5/6/8/9,0/45/90/180/225/315/360,3,1.79577308722275,1,0,
437,B4_K07_I01-02-03-05-07-08-09,Branch4,PowerREV,7,6,1/2/3/5/7/8/9,0/45/90/180/270/315/360,3,1.92201630829681,1,0,
438,B4_K07_I01-02-03-06-07-08-09,Branch4,PowerREV,7,6,1/2/3/6/7/8/9,0/45/90/225/270/315/360,3,2.1992093289624,1,0,
439,B4_K07_I01-02-04-05-06-07-08,Branch4,PowerREV,7,7,1/2/4/5/6/7/8,0/45/135/180/225/270/315,3,1.59383575808277,1,0,
440,B4_K07_I01-02-04-05-06-07-09,Branch4,PowerREV,7,6,1/2/4/5/6/7/9,0/45/135/180/225/270/360,3,1.64872505219752,1,0,
441,B4_K07_I01-02-04-05-06-08-09,Branch4,PowerREV,7,6,1/2/4/5/6/8/9,0/45/135/180/225/315/360,3,1.74077368673836,1,0,
442,B4_K07_I01-02-04-05-07-08-09,Branch4,PowerREV,7,6,1/2/4/5/7/8/9,0/45/135/180/270/315/360,3,1.79577308722275,1,0,
443,B4_K07_I01-02-04-06-07-08-09,Branch4,PowerREV,7,6,1/2/4/6/7/8/9,0/45/135/225/270/315/360,3,1.88102963880639,1,0,
444,B4_K07_I01-02-05-06-07-08-09,Branch4,PowerREV,7,6,1/2/5/6/7/8/9,0/45/180/225/270/315/360,3,2.27803931585949,1,0,
445,B4_K07_I01-03-04-05-06-07-08,Branch4,PowerREV,7,7,1/3/4/5/6/7/8,0/90/135/180/225/270/315,3,1.59383575808277,1,0,
446,B4_K07_I01-03-04-05-06-07-09,Branch4,PowerREV,7,6,1/3/4/5/6/7/9,0/90/135/180/225/270/360,3,1.52367866134271,1,0,
447,B4_K07_I01-03-04-05-06-08-09,Branch4,PowerREV,7,6,1/3/4/5/6/8/9,0/90/135/180/225/315/360,3,1.64872505219752,1,0,
448,B4_K07_I01-03-04-05-07-08-09,Branch4,PowerREV,7,6,1/3/4/5/7/8/9,0/90/135/180/270/315/360,3,1.70953847804352,1,0,
449,B4_K07_I01-03-04-06-07-08-09,Branch4,PowerREV,7,6,1/3/4/6/7/8/9,0/90/135/225/270/315/360,3,1.66386202630304,1,0,
450,B4_K07_I01-03-05-06-07-08-09,Branch4,PowerREV,7,6,1/3/5/6/7/8/9,0/90/180/225/270/315/360,3,1.7474907444751,1,0,
451,B4_K07_I01-04-05-06-07-08-09,Branch4,PowerREV,7,6,1/4/5/6/7/8/9,0/135/180/225/270/315/360,3,1.98291847171118,1,0,
452,B4_K07_I02-03-04-05-06-07-08,Branch4,PowerREV,7,7,2/3/4/5/6/7/8,45/90/135/180/225/270/315,3,1.59383575808277,1,0,
453,B4_K07_I02-03-04-05-06-07-09,Branch4,PowerREV,7,7,2/3/4/5/6/7/9,45/90/135/180/225/270/360,3,1.59383575808277,1,0,
454,B4_K07_I02-03-04-05-06-08-09,Branch4,PowerREV,7,7,2/3/4/5/6/8/9,45/90/135/180/225/315/360,3,1.59383575808277,1,0,
455,B4_K07_I02-03-04-05-07-08-09,Branch4,PowerREV,7,7,2/3/4/5/7/8/9,45/90/135/180/270/315/360,3,1.59383575808277,1,0,
456,B4_K07_I02-03-04-06-07-08-09,Branch4,PowerREV,7,7,2/3/4/6/7/8/9,45/90/135/225/270/315/360,3,1.59383575808277,1,0,
457,B4_K07_I02-03-05-06-07-08-09,Branch4,PowerREV,7,7,2/3/5/6/7/8/9,45/90/180/225/270/315/360,3,1.59383575808277,1,0,
458,B4_K07_I02-04-05-06-07-08-09,Branch4,PowerREV,7,7,2/4/5/6/7/8/9,45/135/180/225/270/315/360,3,1.59383575808277,1,0,
459,B4_K07_I03-04-05-06-07-08-09,Branch4,PowerREV,7,7,3/4/5/6/7/8/9,90/135/180/225/270/315/360,3,1.59383575808277,1,0,
460,B4_K08_I01-02-03-04-05-06-07-08,Branch4,PowerREV,8,8,1/2/3/4/5/6/7/8,0/45/90/135/180/225/270/315,3,1.41421356237309,1,1,
461,B4_K08_I01-02-03-04-05-06-07-09,Branch4,PowerREV,8,7,1/2/3/4/5/6/7/9,0/45/90/135/180/225/270/360,3,1.57014272396837,1,0,
462,B4_K08_I01-02-03-04-05-06-08-09,Branch4,PowerREV,8,7,1/2/3/4/5/6/8/9,0/45/90/135/180/225/315/360,3,1.71571923465824,1,0,
463,B4_K08_I01-02-03-04-05-07-08-09,Branch4,PowerREV,8,7,1/2/3/4/5/7/8/9,0/45/90/135/180/270/315/360,3,1.7400536966141,1,0,
464,B4_K08_I01-02-03-04-06-07-08-09,Branch4,PowerREV,8,7,1/2/3/4/6/7/8/9,0/45/90/135/225/270/315/360,3,1.66841590285253,1,0,
465,B4_K08_I01-02-03-05-06-07-08-09,Branch4,PowerREV,8,7,1/2/3/5/6/7/8/9,0/45/90/180/225/270/315/360,3,1.7400536966141,1,0,
466,B4_K08_I01-02-04-05-06-07-08-09,Branch4,PowerREV,8,7,1/2/4/5/6/7/8/9,0/45/135/180/225/270/315/360,3,1.71571923465824,1,0,
467,B4_K08_I01-03-04-05-06-07-08-09,Branch4,PowerREV,8,7,1/3/4/5/6/7/8/9,0/90/135/180/225/270/315/360,3,1.57014272396837,1,0,
468,B4_K08_I02-03-04-05-06-07-08-09,Branch4,PowerREV,8,8,2/3/4/5/6/7/8/9,45/90/135/180/225/270/315/360,3,1.41421356237309,1,0,
469,B4_K09_I01-02-03-04-05-06-07-08-09,Branch4,PowerREV,9,8,1/2/3/4/5/6/7/8/9,0/45/90/135/180/225/270/315/360,3,1.53411610008943,1,0,
