MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,FailureReason
74,B4_K03_I04-06-09,Branch4,PowerREV,3,3,4/6/9,135/225/360,3,1.68454111593416,1,0,
75,B4_K03_I04-07-08,Branch4,PowerREV,3,3,4/7/8,135/270/315,3,3.45343908280327,1,0,
76,B4_K03_I04-07-09,Branch4,PowerREV,3,3,4/7/9,135/270/360,3,1.68454111593416,1,0,
77,B4_K03_I04-08-09,Branch4,PowerREV,3,3,4/8/9,135/315/360,3,3.45343908280327,1,0,
78,B4_K03_I05-06-07,Branch4,PowerREV,3,3,5/6/7,180/225/270,3,13.2024309665537,1,0,
79,B4_K03_I05-06-08,Branch4,PowerREV,3,3,5/6/8,180/225/315,3,5.35734750587403,1,0,
80,B4_K03_I05-06-09,Branch4,PowerREV,3,3,5/6/9,180/225/360,3,3.45343908280328,1,0,
81,B4_K03_I05-07-08,Branch4,PowerREV,3,3,5/7/8,180/270/315,3,5.35734750587403,1,0,
82,B4_K03_I05-07-09,Branch4,PowerREV,3,3,5/7/9,180/270/360,3,2.35829447118226,1,0,
83,B4_K03_I05-08-09,Branch4,PowerREV,3,3,5/8/9,180/315/360,3,3.45343908280327,1,0,
84,B4_K03_I06-07-08,Branch4,PowerREV,3,3,6/7/8,225/270/315,3,13.2024309665538,1,0,
85,B4_K03_I06-07-09,Branch4,PowerREV,3,3,6/7/9,225/270/360,3,5.35734750587403,1,0,
86,B4_K03_I06-08-09,Branch4,PowerREV,3,3,6/8/9,225/315/360,3,5.35734750587403,1,0,
87,B4_K03_I07-08-09,Branch4,PowerREV,3,3,7/8/9,270/315/360,3,13.2024309665537,1,0,
88,B4_K04_I01-02-03-04,Branch4,PowerREV,4,4,1/2/3/4,0/45/90/135,3,5.35659130799869,1,0,
89,B4_K04_I01-02-03-05,Branch4,PowerREV,4,4,1/2/3/5,0/45/90/180,3,2.86467557480933,1,0,
90,B4_K04_I01-02-03-06,Branch4,PowerREV,4,4,1/2/3/6,0/45/90/225,3,2.03950773330883,1,0,
91,B4_K04_I01-02-03-07,Branch4,PowerREV,4,4,1/2/3/7,0/45/90/270,3,2.86467557480933,1,0,
92,B4_K04_I01-02-03-08,Branch4,PowerREV,4,4,1/2/3/8,0/45/90/315,3,5.35659130799869,1,0,
93,B4_K04_I01-02-03-09,Branch4,PowerREV,4,3,1/2/3/9,0/45/90/360,3,14.3768344528317,1,0,
