MethodIndex,MethodId,Branch,StateCount,UniquePhaseCount,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,MedianValidFraction,MedianTrainingFitNmseDb,MedianHeldOutFitNmseDb,Branch1Coherence,Branch1PhaseRmseDeg,Branch1ComplexNmseDb,Branch1MagnitudeNrmse,Branch2Coherence,Branch2PhaseRmseDeg,Branch2ComplexNmseDb,Branch2MagnitudeNrmse,Branch3Coherence,Branch3PhaseRmseDeg,Branch3ComplexNmseDb,Branch3MagnitudeNrmse,Branch4CanonicalCoherence,Branch4CanonicalPhaseRmseDeg,Branch4CanonicalComplexNmseDb,Branch4CanonicalMagnitudeNrmse
254,B4_K05_I01-03-04-06-08,Branch4,5,5,3,1.58337710684671,1,0,0.947172619047619,-29.5014809536823,-23.3592115199598,0.91380740385994,24.0857210898999,-7.92013029648431,0.290536242849943,0.73409032454122,49.493813806173,-3.36409481003826,0.480663996028073,0.885581747250856,26.4319230009984,-6.73514657337509,0.348380329334846,0.959347092121882,16.1813974680497,-10.9883092593013,0.192555249111564
255,B4_K05_I01-03-04-06-09,Branch4,5,4,3,1.7782356499392,1,0,0.939732142857143,-29.4039358920904,-23.1888031629627,0.894344589105698,24.1458710074695,-7.12590243333925,0.301145696781311,0.727070420219667,49.632807113896,-3.27182365294119,0.486631058226309,0.87563982243733,28.1857543005714,-6.394062216481,0.337728237299068,0.935643575816002,20.7554469486017,-9.04584901992525,0.256497032638632
256,B4_K05_I01-03-04-07-08,Branch4,5,5,3,2.04661993273673,1,0,0.935267857142857,-29.4932296375295,-22.4256747743914,0.889006394934543,24.0895814096162,-6.83362171056083,0.346708654511434,0.721445018807278,48.8224944009481,-3.19619998557283,0.503323810682157,0.856919069038974,30.2925917755791,-5.7665831192504,0.374337196577172,0.938122655310965,21.2147793975375,-9.21955833724905,0.262366656013938
257,B4_K05_I01-03-04-07-09,Branch4,5,4,3,1.93484743746429,1,0,0.936755952380952,-29.3678900258394,-22.8209543584921,0.898246617913479,26.5294922676873,-7.19016462181796,0.32204052722264,0.732848188942479,46.9019296867032,-3.34732421545198,0.484889452747606,0.871607134017255,28.9480067722234,-6.25032896098608,0.347301181420368,0.925939979007168,22.5431588088865,-8.47166444510184,0.262518141591098
258,B4_K05_I01-03-04-08-09,Branch4,5,4,3,3.51709189816039,1,0,0.892857142857143,-29.166375903583,-20.7887596939825,0.831713821346686,38.0514856329532,-5.11249224478298,0.38519566340468,0.670428958683115,59.142380874421,-2.61145864326974,0.525558416739583,0.810310414303552,40.3137072567546,-4.64209963365807,0.407682816947902,0.860126267102369,36.3695023465064,-5.8478788455193,0.350327482839252
259,B4_K05_I01-03-05-06-07,Branch4,5,5,3,1.67454253273489,1,0,0.943452380952381,-29.5816091486832,-23.0263000671365,0.909652622027584,23.9220520636026,-7.83839221206634,0.319260435048592,0.756312244751454,47.5171459110753,-3.68755554349239,0.480531874772469,0.891060152166877,27.529332991761,-6.95687550218719,0.345254302519946,0.957464396896715,16.185921663723,-10.8275588203441,0.204128078669065
260,B4_K05_I01-03-05-06-08,Branch4,5,5,3,1.58337710684671,1,0,0.95014880952381,-29.6598320092112,-23.3040321475676,0.916069823352175,23.0681332491983,-8.02296202838824,0.28314357517686,0.73845478600564,50.2237692708261,-3.42672155886057,0.476038255728645,0.892054528288989,27.8956441189122,-6.93679183115645,0.323314896072015,0.95962523653084,16.3645931125979,-11.0270051037182,0.183706909290272
261,B4_K05_I01-03-05-06-09,Branch4,5,4,3,1.75501763786498,1,0,0.930059523809524,-29.6913593402086,-22.8500338789892,0.901388442261797,26.591888190546,-7.36105977123263,0.302201608968968,0.738684532812342,49.5136669046869,-3.42866237519798,0.472741538841888,0.875803250142575,30.7991816056205,-6.39780877659231,0.326105424733737,0.930016595474622,21.9619903732228,-8.69451018603865,0.257085797729726
262,B4_K05_I01-03-05-07-08,Branch4,5,5,3,1.67454253273489,1,0,0.938988095238095,-29.5165154136641,-23.2419849829423,0.920527024156981,23.2172826567729,-8.28345854483536,0.291242345643979,0.750643672201353,49.8052158176764,-3.59983651940483,0.473152504358249,0.892379053462065,28.4711284009624,-7.00864768259658,0.342299375777634,0.956077738082047,17.3989870524466,-10.8206748048744,0.206129178112366
263,B4_K05_I01-03-05-07-09,Branch4,5,4,3,1.67454253273489,1,0,0.941220238095238,-29.5422784459561,-23.268758324171,0.916712829014426,23.5366531288376,-8.09767734223059,0.296380951190135,0.747135488719187,47.9179866452492,-3.56984620375689,0.470441351751491,0.902467378110699,27.1065107282606,-7.40151527609193,0.317547780469737,0.947203381833228,18.9140041285104,-9.93200228039067,0.239899874529052
264,B4_K05_I01-03-05-08-09,Branch4,5,4,3,2.17215895712461,1,0,0.933035714285714,-29.4528447203781,-22.8070234110727,0.882640519556126,27.832086088898,-6.58978134306511,0.321782560683932,0.722579295401614,51.1075124987902,-3.21437855585569,0.480247422070482,0.853903100719457,31.7652049379953,-5.6728280607469,0.343694675935121,0.920612892656367,24.1910977960346,-8.17129517031183,0.286900463292128
265,B4_K05_I01-03-06-07-08,Branch4,5,5,3,2.00879722341795,1,0,0.939732142857143,-29.3609637204905,-23.0558148382352,0.913304755901449,22.9022179460239,-7.93831687669203,0.30790636789669,0.743210737910074,50.064695096916,-3.49117668643063,0.477669270590303,0.886621262286102,27.2994951363861,-6.73088523510842,0.34441127001238,0.952880876391762,18.1610458397461,-10.3619924938395,0.220754358511307
266,B4_K05_I01-03-06-07-09,Branch4,5,4,3,1.93484743746429,1,0,0.94047619047619,-29.4009732324641,-23.0325178380942,0.908326429862686,25.5903137523047,-7.65859477135964,0.300416669039527,0.768472671339871,49.7906985609146,-3.88229705717103,0.465917892279881,0.887516227179874,28.5065150362712,-6.74140839465118,0.343061598234909,0.932042944489205,21.4102155940287,-8.8491094591352,0.270675062473066
267,B4_K05_I01-03-06-08-09,Branch4,5,4,3,2.12314043986553,1,0,0.941220238095238,-29.4181243415592,-23.0735019575612,0.898241318479236,24.9930054983137,-7.18165502180118,0.315069840031262,0.740976705835517,48.1527443781596,-3.45965235857534,0.477476114544755,0.882768979439668,27.5038766590539,-6.58120723540846,0.332647445698085,0.934059370501123,21.4441569000253,-8.9585629705608,0.258727372429172
268,B4_K05_I01-03-07-08-09,Branch4,5,4,3,3.0978718078797,1,0,0.912202380952381,-29.3786956152012,-21.3935764111224,0.865887521999575,30.4798147490098,-6.02996829259902,0.361696020878709,0.723067563249796,52.0007838632234,-3.21907465032474,0.505589002105798,0.846137958062947,32.6619584989928,-5.47407847113699,0.383067415695439,0.88943242425619,25.9986560185961,-6.80195596868378,0.331057989041342
269,B4_K05_I01-04-05-06-07,Branch4,5,5,3,2.00879722341795,1,0,0.936755952380952,-29.3348971719067,-22.4640282057995,0.89912793682498,23.0829763037152,-7.26857447428394,0.348386052677308,0.731820545868095,45.8598224047482,-3.33072335664707,0.488275948511367,0.859603108176724,27.8173858767932,-5.90860270861384,0.392777827823996,0.933263498791473,20.4251620071979,-9.00980574700522,0.266598894916858
270,B4_K05_I01-04-05-06-08,Branch4,5,5,3,2.04661993273673,1,0,0.932291666666667,-29.6190026785187,-22.3710264298754,0.883252603966374,26.0882160798077,-6.6593686105221,0.329664108190224,0.708391855483977,50.3922739924671,-3.02618162829055,0.50414823942566,0.862502044607505,30.6016263133357,-5.94413612508965,0.365727396456526,0.919736510535201,20.3542925604454,-8.23466045814765,0.268313210193023
271,B4_K05_I01-04-05-06-09,Branch4,5,4,3,2.00387376275808,1,0,0.924107142857143,-29.4408691735833,-22.3581877364146,0.860096913603503,29.083572209691,-5.93302991356322,0.373710965941852,0.676650034593315,51.5423436237014,-2.67551358802773,0.512659449990596,0.836180188225517,34.0866339338736,-5.27284054443486,0.394595905070529,0.888785678663091,26.4165129969999,-6.80463255190731,0.31749433889328
272,B4_K05_I01-04-05-07-08,Branch4,5,5,3,2.04661993273673,1,0,0.917410714285714,-29.3981711066427,-22.3780446207585,0.894824626512717,26.4919625414011,-7.06112468865506,0.331825033580877,0.715433189534088,47.5453954270269,-3.11463837640291,0.496871566769951,0.856303668993546,30.0102510422246,-5.82406326646803,0.388991953134382,0.927618244296865,21.8825730661331,-8.68368337134814,0.270794023536407
273,B4_K05_I01-04-05-07-09,Branch4,5,4,3,1.75501763786498,1,0,0.921875,-29.2566356762363,-22.9789392078441,0.899401374286335,26.2507376063699,-7.19505213030512,0.316554567913236,0.743629276053927,44.96540451445,-3.50112511203758,0.480991437229194,0.88205705671245,27.7338645121667,-6.55701000013294,0.345284082554148,0.920421986045477,21.8598326737939,-8.27264767128996,0.28366667698746
274,B4_K05_I01-04-05-08-09,Branch4,5,4,3,2.57971353872077,1,0,0.904761904761905,-29.5335518431982,-21.2821633743535,0.851356841022417,36.3843840331884,-5.60790328839635,0.367932692885102,0.682806500413783,52.746980033921,-2.73333749998626,0.526983512615563,0.838487720268075,38.0575493829946,-5.28670889648177,0.364139095002348,0.877796590452741,33.1879602982791,-6.39269473054183,0.347596980636246
275,B4_K05_I01-04-06-07-08,Branch4,5,5,3,2.00879722341795,1,0,0.936011904761905,-29.5776588119291,-22.5735561609011,0.912688119840113,22.2379379045497,-7.8638984983987,0.326568953548762,0.719700837780142,45.9610279668689,-3.17002521568708,0.496635459897246,0.878432023534177,26.2106725895213,-6.41622314616943,0.358977082221274,0.947285740795021,19.7674177637798,-9.92236722118026,0.242180809759156
276,B4_K05_I01-04-06-07-09,Branch4,5,4,3,1.7782356499392,1,0,0.93452380952381,-29.4460426570136,-23.0555471965955,0.907949475455599,23.6674149614823,-7.60324297464081,0.311036046630671,0.722546966909113,45.3430092391751,-3.2073891113437,0.487248236683191,0.877502326108975,28.6436771868608,-6.41085708665216,0.339780695886095,0.931366598289317,21.2486343781374,-8.85460477105877,0.266347620983386
277,B4_K05_I01-04-06-08-09,Branch4,5,4,3,1.98611700740176,1,0,0.93452380952381,-29.7103226440975,-22.6149836468495,0.886561691117909,27.9310278959229,-6.74173391482736,0.334073140278248,0.707120495266605,50.74595678595,-3.01319700374391,0.510755143690314,0.861775937715593,29.8516545416951,-5.9335902741751,0.367293646906641,0.923721167422973,22.0517160454782,-8.36154612143086,0.276587348431096
278,B4_K05_I01-04-07-08-09,Branch4,5,4,3,2.26148950771424,1,0,0.924107142857143,-29.5655216963381,-22.3076880669853,0.884434498099551,26.3116210246695,-6.64587112611929,0.34220390188426,0.711068538453311,47.5164502235941,-3.06279045423575,0.505697434334793,0.855817879242736,29.7100121784377,-5.75746330307471,0.360980366159029,0.91366529158618,26.4641304394907,-7.84961173826207,0.307716851338885
279,B4_K05_I01-05-06-07-08,Branch4,5,5,3,2.88280681689163,1,0,0.912202380952381,-29.6412431036634,-20.5777618701929,0.841919803843696,31.6020382185824,-5.41368492156695,0.371595467904461,0.715437115657843,50.7949323405501,-3.11585160168392,0.538890533999445,0.830309161556354,35.7134283390276,-5.10242234846098,0.387430850433383,0.886470088995983,31.0933698646306,-6.69807600269429,0.310654413321413
280,B4_K05_I01-05-06-07-09,Branch4,5,4,3,2.84043208893468,1,0,0.912202380952381,-29.5445027603139,-21.1729951209706,0.836140940113818,33.0385665600319,-5.21779723964745,0.367461291917871,0.707081427782057,50.6289607195364,-3.01451853003754,0.514297418259475,0.828670636120884,35.8963658976747,-5.04069290455361,0.376493858188761,0.861911452028564,33.902563392901,-5.89925151956631,0.328931811411525
281,B4_K05_I01-05-06-08-09,Branch4,5,4,3,3.29235209211684,1,0,0.900297619047619,-29.615026812261,-20.6852135832926,0.8192906347054,41.503980682848,-4.9544431259958,0.396288133522664,0.672546014142242,54.7511823612679,-2.61758299299539,0.527932631411433,0.797921381487917,43.0077903295991,-4.50792631023654,0.396907206096237,0.86250679126246,40.3332356996181,-5.92747312970254,0.359793338606889
282,B4_K05_I01-05-07-08-09,Branch4,5,4,3,2.91812140144589,1,0,0.91889880952381,-29.4956185507711,-21.4365273572353,0.868657742246856,28.6259231388413,-6.12405368976077,0.357694015407376,0.716464591415398,50.3679169832657,-3.14159527305398,0.515996793738209,0.840948149311754,32.5197953322576,-5.33985025008447,0.358808819803986,0.891258732651222,29.8758854411751,-6.87151588828421,0.335053602453783
283,B4_K05_I01-06-07-08-09,Branch4,5,4,3,5.40710480883445,1,0,0.854166666666667,-29.4039062332357,-17.7169096444902,0.781324042098564,48.0799177504147,-4.10023089131382,0.423433499765887,0.6502275922671,62.0488390618996,-2.48429107959415,0.539543590665056,0.771674018059386,49.5072608466803,-3.95340189718561,0.427036024765277,0.805361657283812,44.0822585293722,-4.54234201899582,0.378880323070365
284,B4_K05_I02-03-04-05-06,Branch4,5,5,3,2.88280681689164,1,0,0.909970238095238,-29.5477020346142,-20.3148184617191,0.830306112010218,32.0114453927876,-5.10525952813014,0.410356008705512,0.677522807325848,53.123321177974,-2.66925824389566,0.533601019907728,0.810313698240424,38.0266291932926,-4.69255751345641,0.433035554882759,0.88097332259814,28.9275715745378,-6.50019843613894,0.356073700960529
285,B4_K05_I02-03-04-05-07,Branch4,5,5,3,2.00879722341795,1,0,0.928571428571429,-29.4722486880419,-22.2961966683424,0.888678951989049,21.0608089050738,-6.89880871998264,0.368914721791298,0.715569278878412,46.4491901197333,-3.12175029030195,0.510503571675091,0.873935523933605,27.2766931493121,-6.39571523072051,0.390871034343433,0.939474755738616,16.3812237696773,-9.38605099774547,0.277022830479339
286,B4_K05_I02-03-04-05-08,Branch4,5,5,3,2.00879722341795,1,0,0.935267857142857,-29.4187398224631,-22.7877132873634,0.894876496427741,23.5332088195278,-7.12080595480266,0.311787873525177,0.693696621526593,48.1933348875193,-2.85618871217188,0.494316639656778,0.855655934723808,29.3734453786052,-5.80086672581662,0.347969691252804,0.944743577140665,19.5489114559809,-9.68940189546073,0.21585390035727
287,B4_K05_I02-03-04-05-09,Branch4,5,5,3,2.88280681689164,1,0,0.905505952380952,-29.2995701487167,-20.9732892190298,0.830932263858377,35.1359817239942,-5.09268947182524,0.364421136950255,0.673765281630443,54.2377295583507,-2.6328879029498,0.5172410091469,0.811784695803457,38.2202741139788,-4.67412951735901,0.400295511454441,0.85318272816329,33.8617186463831,-5.65373124707736,0.33872136355051
288,B4_K05_I02-03-04-06-07,Branch4,5,5,3,2.04661993273673,1,0,0.930059523809524,-29.6577082258439,-22.0098452285193,0.85338358531646,24.5151174687026,-5.95382064689116,0.426107671806415,0.706853144786453,49.6859776296516,-3.02692480061854,0.533186691559251,0.840131016190265,26.2009494321717,-5.47195409343782,0.435136099713255,0.927530330532549,19.9778601483682,-8.67262345380883,0.344269354378199
289,B4_K05_I02-03-04-06-08,Branch4,5,5,3,1.67454253273489,1,0,0.952380952380952,-29.7158592994299,-23.0272409226535,0.91175951225301,21.2194098336813,-7.84467939065287,0.299314310670772,0.720493659905937,49.7899769715292,-3.18222658928388,0.511291895312452,0.893428098106028,27.1999190897442,-6.99209156962238,0.330800350387482,0.95807173060988,16.6245742467284,-10.9170085148374,0.207989564640553
290,B4_K05_I02-03-04-06-09,Branch4,5,5,3,2.00879722341795,1,0,0.93452380952381,-29.4634256263013,-22.8472882413889,0.887455115317302,25.3470738028075,-6.79691889842545,0.333127360141854,0.721933499612894,51.0513742519231,-3.20187923913785,0.502742275298263,0.871640553965946,29.24418600169,-6.27482442396206,0.369812678414188,0.925040591026053,22.6936818753853,-8.41213032036503,0.277109686564796
291,B4_K05_I02-03-04-07-08,Branch4,5,5,3,2.04661993273673,1,0,0.929315476190476,-29.6087175750053,-22.3841070122698,0.901012356717464,27.0380850537802,-7.28475018438635,0.326317660608353,0.728953866343174,49.6322210783351,-3.31152429949095,0.489226620021013,0.860818647966556,29.0260331778862,-5.86786693516822,0.37640984214095,0.939156051116528,23.042526363376,-9.28368321509686,0.258969846418515
292,B4_K05_I02-03-04-07-09,Branch4,5,5,3,2.00879722341795,1,0,0.93452380952381,-29.4525482396765,-22.7815878718351,0.89614878021734,24.4012259089517,-7.0791222969347,0.329328760728207,0.725073560971229,50.5730606881058,-3.24441448792256,0.500157530080034,0.878616466334932,28.7632565406908,-6.43976863240589,0.353200608332205,0.924120316642187,21.6864879217536,-8.3579006664223,0.279560416489186
293,B4_K05_I02-03-04-08-09,Branch4,5,5,3,2.88280681689163,1,0,0.913690476190476,-29.3849016535674,-21.2551880468023,0.862795393057811,31.2643734907441,-5.92472198420451,0.340741499632739,0.702109100612238,55.1011068699617,-2.96682033224004,0.518239912932195,0.843918178670344,35.0855982870643,-5.41151473395335,0.372305293634899,0.884589216830023,29.4963181461701,-6.63184907100879,0.315951538558674
294,B4_K05_I02-03-05-06-07,Branch4,5,5,3,2.04661993273673,1,0,0.927083333333333,-29.935177359314,-21.8777889460429,0.877142688424969,22.7644820013966,-6.45403158100432,0.370556155885118,0.731853495270584,46.5161064757503,-3.35506280831707,0.507508437949613,0.862926492404424,26.9322104528195,-6.06300089245135,0.398786462565209,0.928254059358517,17.9789260159764,-8.6532373335873,0.298911891016381
295,B4_K05_I02-03-05-06-08,Branch4,5,5,3,1.58337710684671,1,0,0.95014880952381,-29.8267440717332,-23.1542396814026,0.914623175417277,20.5936984437928,-8.01632810757581,0.299866056113111,0.728513614546364,50.4640195977076,-3.2890644049149,0.497634751079482,0.889286149579748,26.298243979512,-6.87552465923935,0.338040084194479,0.956936031738073,15.8374788805604,-10.8040513070905,0.209905183798092
296,B4_K05_I02-03-05-06-09,Branch4,5,5,3,2.04661993273673,1,0,0.930059523809524,-29.7665571772925,-22.4747936527278,0.892340481356779,25.7586686192398,-6.95533583454935,0.318327808062553,0.736169705102778,48.7922701988941,-3.39470315541964,0.485117632750631,0.880511324278276,28.712854208545,-6.53106889169875,0.342829268083071,0.922221192765125,22.5235057818442,-8.27972360607193,0.275632729082349
297,B4_K05_I02-03-05-07-08,Branch4,5,5,3,1.58337710684671,1,0,0.944196428571429,-29.6768495833576,-23.2145452453952,0.911766374452334,18.2363371858182,-7.80677820722012,0.326736297380774,0.724452702018045,49.3024230797646,-3.2342628723169,0.506278668218704,0.883656375147841,23.3830681892995,-6.66715458569543,0.352596983950458,0.963209886347433,14.4975571691491,-11.4135086796166,0.215314194180722
298,B4_K05_I02-03-05-07-09,Branch4,5,5,3,1.67454253273489,1,0,0.941964285714286,-29.7185526820792,-23.1067283486474,0.913618415721167,21.5749054170914,-7.88352522329142,0.307065355445153,0.752903190187616,47.0938471396167,-3.63756314941006,0.466790876117121,0.896210546675525,23.6872873202743,-7.10421604313419,0.320682365763186,0.946328402840915,17.2367054693412,-9.81985882476924,0.254923867235529
