Branch,Method,Estimator,StateRole,Location,StateCount,UniquePhaseCount,PhaseSetDeg,ValidFraction,TrainingFitNmseDb,HeldOutFitNmseDb,VsBranch1Coherence,VsBranch1ComplexNmseDb,VsBranch2Coherence,VsBranch2ComplexNmseDb,VsBranch3Coherence,VsBranch3ComplexNmseDb,VsBranch1PhaseRmseDeg,VsBranch1MagnitudeNrmse
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location2,6,6,0/90/180/270/45/135,1,-16.8992525335547,-13.6573674533382,0.958580566747587,-10.9085440683709,0.480897263015046,-1.14221750820652,0.804636870393713,-4.52767570034104,23.1129836621811,0.204224443510835
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location2,7,7,0/90/180/270/45/135/225,1,-16.59458606204,-13.8606176703614,0.982704088715332,-14.6479864880766,0.491365367276953,-1.20010018604384,0.828493619942712,-5.03626270197431,13.1366448308393,0.134144076757745
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,Location2,8,8,0/90/180/270/45/135/225/315,1,-16.3746063951345,-14.1682992535307,1,-Inf,0.487695201681884,-1.17957614174939,0.840307450190769,-5.31824960380864,7.40387641499835e-16,0
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,Location2,9,8,0/90/180/270/45/135/225/315/360,1,-16.2160623103022,NaN,0.988554662757091,-16.4283387241329,0.494053773472192,-1.21529410079715,0.857374743943373,-5.76904027040974,11.4329221073623,0.103635086966371
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location3,3,3,0/90/180,1,-41.3740799089343,-34.2890007055695,0.982064979108996,-14.4918022502073,0.892838913749374,-6.92849236988184,0.966219369770325,-11.7770028211507,10.5905758300639,0.124480361350694
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location3,4,4,0/90/180/270,1,-39.6798027410196,-35.1016553367204,0.991484798451988,-17.706280725071,0.907021638911693,-7.5126249231165,0.973455479713348,-12.8079778548474,6.8067092976699,0.0917170193081979
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location3,5,5,0/90/180/270/45,1,-38.9746480018922,-35.286906936853,0.993778210142215,-19.064078160485,0.907083747390722,-7.5153854897307,0.976941273952472,-13.4117092178846,5.92184818324422,0.0748443028265643
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location3,6,6,0/90/180/270/45/135,1,-38.505640466864,-35.4352124882981,0.996251000148201,-21.2586943001254,0.908157735328603,-7.56343143633924,0.97850145992826,-13.7125465619552,4.58343971249535,0.0590117279255881
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location3,7,7,0/90/180/270/45/135/225,1,-38.2109376921679,-35.7062084704691,0.998517028453054,-25.2815932845135,0.913947596924448,-7.83306954375366,0.981145682509307,-14.2767277171292,2.90744312507555,0.0368373783190063
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,Location3,8,8,0/90/180/270/45/135/225/315,1,-38.0237356681093,-35.9951254110828,1,-Inf,0.91133371064791,-7.7090494657676,0.983084986227904,-14.7438631773647,7.33331473158097e-16,0
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,Location3,9,8,0/90/180/270/45/135/225/315/360,1,-37.8855443617637,NaN,0.999092132047162,-27.4114450406562,0.910519418344821,-7.67119745323409,0.983454509997525,-14.8389812198239,2.16346783618087,0.0305777237721851
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location4,3,3,0/90/180,1,-29.6153307346965,-22.3673559467052,0.955410654060966,-10.5953092096312,0.74442156789739,-3.50824350836907,0.923211714793893,-8.30677934995191,23.2884318011732,0.211509777274148
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location4,4,4,0/90/180/270,1,-27.8607488901452,-23.1681265762738,0.975635036587041,-13.175275169451,0.763756935559415,-3.80202198003738,0.945935758748129,-9.77961388815904,14.0307765387003,0.15196873533962
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location4,5,5,0/90/180/270/45,1,-27.1014648617716,-23.3697111366292,0.984182849070457,-15.0329004990809,0.7578173433246,-3.70883215947928,0.949446457231323,-10.0633709233425,11.6948884837584,0.118332712480355
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location4,6,6,0/90/180/270/45/135,1,-26.6443403777372,-23.4712467624103,0.990071657183201,-17.0425452097078,0.767314937546745,-3.85917547789536,0.955701651215109,-10.6230985930633,9.60518785165018,0.0930555244811094
Branch1,ComplexDFT,ComplexHarmonicLS,IncrementalPhaseSubset,Location4,7,7,0/90/180/270/45/135/225,1,-26.3533066175672,-23.6682096630573,0.995404217060716,-20.3760960569072,0.783605414359226,-4.13454827776758,0.959424152691017,-10.9960394538199,5.68580439781558,0.067089077371003
Branch1,ComplexDFT,ComplexDFT,CanonicalEightUniquePhases,Location4,8,8,0/90/180/270/45/135/225/315,1,-26.1461393335417,-23.9165036812198,1,-Inf,0.784825524567939,-4.15613479004005,0.966390676362807,-11.7987042095726,7.28917423056069e-16,0
Branch1,ComplexDFT,ComplexHarmonicLS,EightUniquePhasesPlusClosureRepeat,Location4,9,8,0/90/180/270/45/135/225/315/360,1,-25.9831917879789,NaN,0.99747415426867,-22.9711200936415,0.78934388805341,-4.23732121594146,0.969286979383938,-12.1836845930402,4.41042990812335,0.0494761521154823
