MethodIndex,MethodId,Branch,StateCount,UniquePhaseCount,PowerDesignRank,PowerDesignCondition,Recoverable,Canonical,MedianValidFraction,MedianTrainingFitNmseDb,MedianHeldOutFitNmseDb,Branch1Coherence,Branch1PhaseRmseDeg,Branch1ComplexNmseDb,Branch1MagnitudeNrmse,Branch2Coherence,Branch2PhaseRmseDeg,Branch2ComplexNmseDb,Branch2MagnitudeNrmse,Branch3Coherence,Branch3PhaseRmseDeg,Branch3ComplexNmseDb,Branch3MagnitudeNrmse,Branch4CanonicalCoherence,Branch4CanonicalPhaseRmseDeg,Branch4CanonicalComplexNmseDb,Branch4CanonicalMagnitudeNrmse,ValidDoaCount,MedianDoaAngularErrorDeg,ValidLocalizationCount,TwoStationValidCount,TwoStationMedianErrorM,TwoStationMinErrorM,TwoStationMaxErrorM,TwoStationMedianRayRmsM,ThreeStationValidCount,ThreeStationMedianErrorM,ThreeStationMinErrorM,ThreeStationMaxErrorM,ThreeStationMedianRayRmsM,FourStationValidCount,FourStationErrorM,FourStationRayRmsM,FourStationEstimatedY_M,ForwardLocalizationCount
135,B4_K04_I01-05-06-08,Branch4,4,4,3,3.20041258076506,1,0,0.88764880952381,-31.8103854398116,-20.3767582604439,0.783838613008477,40.6309352923285,-4.23606350202669,0.419090052842313,0.649750013030798,56.3575372294983,-2.38932176351925,0.546646670873733,0.761133781301008,45.2741742630174,-3.81765481928478,0.423836204735455,0.832685205489311,40.0165900135198,-5.14638574928376,0.353407028760478,4,10.2301312154088,11,6,1.19047277903013,0.703020300776448,1.70314220336798,0.176418710726186,4,1.10907444628537,0.768053813779995,1.3343218622789,0.24119612740971,1,1.14184571351775,0.262446101597716,1.98213643904425,11
136,B4_K04_I01-05-06-09,Branch4,4,3,3,3.89212678276529,1,0,0.840029761904762,-31.5770620113084,-19.3754731759193,0.697500504395148,52.594782554718,-2.92339543593417,0.476637714072643,0.576772048471829,64.7001286448691,-1.75664939217028,0.586124924660255,0.689172980512687,53.3598008756936,-2.82280200884726,0.485672784043083,0.739091061113651,51.5033790742855,-3.44664817115899,0.451109119970845,4,10.3819994674456,11,6,1.20262956955984,0.70494292201158,1.6489181816213,0.186178463254032,4,1.0798688044814,0.785846916988639,1.32662549027178,0.238343221353297,1,1.13805726449444,0.261248242727682,1.98361071256929,11
137,B4_K04_I01-05-07-08,Branch4,4,4,3,2.86467557480933,1,0,0.905505952380952,-31.7184273525894,-20.89298329178,0.845382322458085,35.8072907117183,-5.47109743498403,0.38977965922531,0.717429635835733,52.2081283038747,-3.14607367611767,0.535063463582984,0.830608783980799,38.2275519827433,-5.08950396808216,0.398415442925261,0.88708886411521,35.284244391304,-6.71598938874216,0.324653336090465,4,10.4267343151013,11,6,1.21751092276525,0.700232857250321,1.73795905573467,0.16504263547166,4,1.15299364502759,0.769467284602467,1.36626088148575,0.248740026744005,1,1.16876735047896,0.266059670155625,1.95457150218547,11
138,B4_K04_I01-05-07-09,Branch4,4,3,3,2.63912204644935,1,0,0.898809523809524,-31.5053763723091,-21.4419052202397,0.831089244756644,35.2711696882434,-5.10197645108589,0.374301875689809,0.69732331484588,48.7325456517273,-2.89702336615543,0.509262705011944,0.818320397758669,35.0453977990414,-4.81070680606567,0.389034984002422,0.849064594604719,34.0909134520355,-5.54368288712571,0.35165653284027,4,10.523341133289,11,6,1.23954448059015,0.714738609614888,1.81287263253145,0.144038007407245,4,1.14781640456413,0.791017665577755,1.40607233126141,0.246291477283038,1,1.19514254767074,0.267892440492054,1.93070960957194,11
139,B4_K04_I01-05-08-09,Branch4,4,3,3,3.49884359610929,1,0,0.884672619047619,-31.4495825872868,-20.1282165944409,0.786074668078249,46.7212788769322,-4.18631693340481,0.415309363716692,0.632260052584253,57.4725825471757,-2.22511395224131,0.540947256295796,0.776794664394479,50.0581255493168,-4.0165946651493,0.429370545771342,0.808605407855972,43.4201025431716,-4.62967392658516,0.394290553293759,4,10.272977942259,11,6,1.20705232083105,0.701379373025315,1.72081390690787,0.200753875235876,4,1.10766680096333,0.793330223258852,1.37158858551855,0.2524290569705,1,1.14129841488286,0.272181908735327,1.98183029441046,11
140,B4_K04_I01-06-07-08,Branch4,4,4,3,5.35659130799869,1,0,0.837797619047619,-31.5976521413647,-17.3444360490022,0.756209805366687,48.1563870587361,-3.70556708262248,0.458197230508373,0.639582563625336,60.2109498623651,-2.45050615085928,0.563976194301197,0.740584940085358,51.5521266477078,-3.49159807561842,0.470258849492333,0.785098337538763,47.3442959473759,-4.19793681585583,0.424927741175595,4,10.2141512036204,11,6,1.16678556583211,0.692236385110353,1.65777854879898,0.15225629717275,4,1.08403886205289,0.710737486723854,1.2934603848903,0.241883730851559,1,1.11004159954985,0.257750967546102,2.01711885796705,11
141,B4_K04_I01-06-07-09,Branch4,4,3,3,5.74324765659698,1,0,0.817708333333333,-31.4519328632651,-16.5623263057842,0.668289939574023,57.2661392003086,-2.57979049097793,0.508206679863306,0.578573028842736,62.8801670237423,-1.82475917471117,0.588060267087946,0.660735369853737,59.7986817718444,-2.49232127571326,0.519104632153983,0.711560160833814,56.4751424241629,-3.06617832595439,0.441749390632628,4,10.4557725955498,11,6,3.29888857647937,0.690820712761352,23.1368263508019,0.241623365065375,4,1.05166734926747,0.728193180963007,3.95002052192641,1.08549730508103,1,0.888119739074979,1.29442791994093,2.2258124682895,8
142,B4_K04_I01-06-08-09,Branch4,4,3,3,5.87683187570298,1,0,0.847470238095238,-31.3946242898298,-17.4961210560107,0.730390164639851,48.7630846575981,-3.32289585953716,0.456090902975477,0.567195582940575,65.6036917231742,-1.77693833342284,0.591999490031071,0.719571154478557,54.6906464254454,-3.2321057273701,0.473328848666823,0.756270840594187,47.8754908540539,-3.69110354531629,0.445756360672953,4,9.97018296471796,11,6,3.25486446027267,0.687507592815023,21.3341324818471,0.21681278398,4,1.01145868601126,0.754088530495452,4.05092424984776,1.09914836597421,1,0.85514056529626,1.31755018350909,2.26060864387971,8
143,B4_K04_I01-07-08-09,Branch4,4,3,3,14.3768344528317,1,0,0.770089285714286,-31.3156164142575,-11.0906625523763,0.544894530242409,64.8352307462494,-1.5402614951494,0.594110912865819,0.428976299405381,75.9686838240393,-0.883776484058971,0.679459418343012,0.546911816597852,68.0023915292549,-1.54394774182531,0.588364214172063,0.588678620884279,65.5618751553481,-1.84842066570076,0.571027399957631,4,9.36939351775906,11,6,3.24179255483781,0.662734555673819,24.7193424708692,0.240152724076892,4,1.14858059613654,0.734439919563916,4.05321334992247,1.08427952729635,1,0.805394782225637,1.30011644930032,2.31348646922662,8
144,B4_K04_I02-03-04-05,Branch4,4,4,3,5.35659130799869,1,0,0.838541666666667,-31.307829548028,-16.9137304716627,0.736799911433466,50.3335471319205,-3.43848948582746,0.50982249681894,0.603033269343985,61.5338747340373,-1.96774025820292,0.611460629523527,0.744755959046637,50.1681990306371,-3.54256914959278,0.509224580347246,0.762302206685753,47.3291510189041,-3.79057633887513,0.453192365425923,4,9.86408083025671,11,6,1.18759720799476,0.704480595945518,1.7906857788484,0.214256938124398,4,1.13234654944235,0.720008322269299,1.44239219255635,0.27761432854373,1,1.14492817498178,0.28152132387864,1.97818346474528,11
145,B4_K04_I02-03-04-06,Branch4,4,4,3,2.86467557480933,1,0,0.901041666666667,-31.661126452094,-20.6834277046042,0.821126258923149,34.438061026171,-4.93107440187234,0.432379328083605,0.676344613156467,54.0231901885279,-2.65646442598488,0.546711182854073,0.799197649783438,37.6118065038946,-4.51560122058205,0.44525339213845,0.878771252605654,28.8575807085945,-6.43586437472933,0.373803972393344,4,10.3043506203277,11,6,1.21680646069777,0.727838663664376,1.79402333012412,0.145242147914898,4,1.1606150048717,0.790650043833756,1.3915760128067,0.238541773670175,1,1.19438533455976,0.258395607641973,1.93057445826909,11
146,B4_K04_I02-03-04-07,Branch4,4,4,3,2.03950773330883,1,0,0.912946428571429,-31.7255993470265,-21.7831753964824,0.872568263668606,30.4803858161443,-6.24905517065858,0.370056179781017,0.689372598844615,51.6144309090874,-2.80561242112878,0.534842811914007,0.839709600014251,29.9883874532681,-5.33872468208713,0.410961686609364,0.915242212945827,25.4357443470883,-7.91019225374922,0.320573682550266,4,10.3822635584267,11,6,1.21448380341302,0.726884246427546,1.73811333230086,0.16328176284457,4,1.14691317930494,0.768889739324907,1.35895934540706,0.246631052749879,1,1.17299144802744,0.263344623270842,1.94930121009622,11
