Branch,Method,Estimator,StateRole,StateCount,UniquePhaseCount,StationCount,Stations,EstimatedX_M,EstimatedY_M,EstimatedZ_M,ErrorM,RmsRayDistanceM,GeometryConditionNumber,MinimumForwardRangeM,AllRaysForward
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,3,L1-L2-L3,-0.0223487300293671,1.72810339562309,1.47845141956115,1.36225040578677,0.224952887379734,9.47002412356903,1.71073173903617,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,3,L1-L2-L4,-0.305131885099262,1.94509527998605,1.43733251562468,1.1865241248337,0.265710899553274,7.29568713012519,2.133465313049,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,3,L1-L3-L4,-0.264946136024044,2.38167062584499,1.74650779038272,0.795420045010352,0.315322399504343,13.8120373688257,2.39652161412743,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,3,L2-L3-L4,-0.325439125019233,2.03980288580659,1.6989979518952,1.11732931028051,0.202454569727203,5.70222560652056,2.06094637908502,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,5,5,4,L1-L2-L3-L4,-0.269714382844782,1.96323054638252,1.5589474928418,1.16009915818912,0.261762623346108,4.23758577946547,1.97318296756848,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,2,L1-L2,0.357221731839413,1.39581504203652,1.43197808366919,1.73277148481541,0.0411952836102895,29.7158757336507,1.80535292737488,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,2,L1-L3,-0.0846220876882139,1.87852434919135,1.52959987177512,1.21478817191972,0.26344223125484,15.5389728827665,1.86878062387096,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,2,L1-L4,-0.267375519520953,2.26877071406703,1.49135913646216,0.863702421575714,0.279255952012229,4.70675477124934,2.44894584875604,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,2,L2-L3,-0.15442477751316,1.75567751874825,1.59234237425759,1.34639912729002,0.174490807788203,5.98020456712307,1.75651374364423,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,2,L2-L4,-0.428961040407145,1.97431419526164,1.57187080176952,1.19746724432397,0.1826148445851,2.69991309653284,2.11861858861505,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,2,L3-L4,-0.255174557329916,2.4719203700396,1.78261597719304,0.725953355419812,0.0130845645985638,18.3632034878191,2.48674704864124,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,3,L1-L2-L3,-0.0352784783953176,1.73626493449039,1.48469980551336,1.35428109880465,0.224831064059387,9.01785573251818,1.72043373342201,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,3,L1-L2-L4,-0.289808455217849,1.97917388224127,1.4371471412526,1.14972783147291,0.265660691464193,5.02698430471718,2.1692033210015,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,3,L1-L3-L4,-0.262708474783596,2.40707742295232,1.76287131439461,0.777496184489751,0.326101376661268,15.1031799809221,2.42223760569512,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,3,L2-L3-L4,-0.332168089133422,2.06916688161623,1.71442517677075,1.09472099251858,0.219678129315218,6.51018870972747,2.09147441878308,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,6,6,4,L1-L2-L3-L4,-0.264524006577695,1.96198685801983,1.55889386564759,1.16010994562878,0.265970351977781,4.30846862585882,1.97141266665288,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,7,7,2,L1-L2,0.375408313194907,1.36988694398274,1.44459112309081,1.7614739483561,0.0440147610719944,29.0078494056742,1.77217579247248,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,7,7,2,L1-L3,-0.0878636281591003,1.88844447100859,1.53202628632037,1.20518935832448,0.260721840800912,15.6113989680393,1.87907486630504,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,7,7,2,L1-L4,-0.267650833383504,2.27248094982542,1.49470449659834,0.860233926537143,0.275740712647636,4.71269458429448,2.4524067795086,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,7,7,2,L2-L3,-0.155816772370232,1.74469690925035,1.60026394203594,1.35800299359207,0.165838343496992,5.94068656842954,1.74608028899724,1
Branch4,PowerREV,PowerREV,IncrementalPhaseSubset,7,7,2,L2-L4,-0.435021745384077,1.96364753034298,1.58055908596422,1.21012543613911,0.173436696037224,2.68802118814034,2.10675104003351,1
