MethodIndex,MethodId,Branch,Estimator,StateCount,UniquePhaseCount,ObservationIndices,PhaseSetDeg,ResponseRecoverable,LocationIndex,Location,DoaValid,FailureReason,AzimuthDeg,ElevationDeg,Ux,Uy,Uz,AngularErrorDeg,PeakScore,FrequencyCount,ValidFraction
11,B4_K03_I01-03-04,Branch4,PowerREV,3,3,1/3/4,0/90/135,1,2,Location2,1,,89.7134975246922,0.716215896194936,0.005,0.999909370893182,0.0124999999999999,37.5302459998636,0.172974787559036,21,0.720238095238095
11,B4_K03_I01-03-04,Branch4,PowerREV,3,3,1/3/4,0/90/135,1,3,Location3,1,,95.5986686202143,2.00576193490982,-0.0975,0.994619902274231,0.0349999999999999,7.86346138546979,0.617786004245605,21,1
11,B4_K03_I01-03-04,Branch4,PowerREV,3,3,1/3/4,0/90/135,1,4,Location4,1,,69.3482897668617,1.86244079953198,0.3525,0.935247293500495,0.0324999999999999,5.19130792057805,0.39960268450619,21,0.866071428571429
12,B4_K03_I01-03-05,Branch4,PowerREV,3,3,1/3/5,0/90/180,1,1,Location1,1,,122.631246389304,-9.06181695393534,-0.5325,0.831647461368097,-0.1575,11.7523866633935,0.487002036085346,21,0.860119047619048
12,B4_K03_I01-03-05,Branch4,PowerREV,3,3,1/3/5,0/90/180,1,2,Location2,1,,144.121550261089,-4.73228037895821,-0.8075,0.584069773229192,-0.0825,17.1058918822708,0.201345636522704,21,0.84077380952381
12,B4_K03_I01-03-05,Branch4,PowerREV,3,3,1/3/5,0/90/180,1,3,Location3,1,,95.8878786990507,2.29244277595588,-0.1025,0.993928443098395,0.0399999999999999,8.27053568153326,0.712590064286969,21,1
12,B4_K03_I01-03-05,Branch4,PowerREV,3,3,1/3/5,0/90/180,1,4,Location4,1,,69.1997531762053,1.4325437375665,0.355,0.934531968420557,0.0249999999999999,4.74554550752062,0.547295147329714,21,0.927083333333333
13,B4_K03_I01-03-06,Branch4,PowerREV,3,3,1/3/6,0/90/225,1,1,Location1,1,,122.631246389304,-9.06181695393534,-0.5325,0.831647461368097,-0.1575,11.7523866633935,0.530266772865711,21,0.858630952380952
13,B4_K03_I01-03-06,Branch4,PowerREV,3,3,1/3/6,0/90/225,1,2,Location2,1,,143.618019979014,-4.58856573578583,-0.8025,0.591264534705067,-0.08,16.5916732698491,0.232078693006275,21,0.870535714285714
13,B4_K03_I01-03-06,Branch4,PowerREV,3,3,1/3/6,0/90/225,1,3,Location3,1,,95.8884891043574,2.43580428350657,-0.1025,0.993824682728297,0.0424999999999999,8.37227853953572,0.734562353795336,21,1
13,B4_K03_I01-03-06,Branch4,PowerREV,3,3,1/3/6,0/90/225,1,4,Location4,1,,69.0416655384098,1.86244079953198,0.3575,0.933347470131033,0.0324999999999999,5.15698973655785,0.569102563108101,21,0.943452380952381
14,B4_K03_I01-03-07,Branch4,PowerREV,3,3,1/3/7,0/90/270,1,1,Location1,1,,123.038508373149,-9.64249546379557,-0.5375,0.826460827867843,-0.1675,12.3922485773178,0.521431754565126,21,0.855654761904762
14,B4_K03_I01-03-07,Branch4,PowerREV,3,3,1/3/7,0/90/270,1,2,Location2,1,,143.280010322366,-3.58332169847197,-0.8,0.596735913114,-0.0625,16.1803999200524,0.219994295699546,21,0.822916666666667
14,B4_K03_I01-03-07,Branch4,PowerREV,3,3,1/3/7,0/90/270,1,3,Location3,1,,95.8878786990507,2.29244277595588,-0.1025,0.993928443098395,0.0399999999999999,8.27053568153326,0.72411167174613,21,1
14,B4_K03_I01-03-07,Branch4,PowerREV,3,3,1/3/7,0/90/270,1,4,Location4,1,,69.0378198679816,2.14909562686401,0.3575,0.933159954134338,0.0374999999999999,5.44241601050701,0.542567770165152,21,0.921130952380952
15,B4_K03_I01-03-08,Branch4,PowerREV,3,3,1/3/8,0/90/315,1,1,Location1,1,,122.661384084008,-9.35203505756315,-0.5325,0.83068495833258,-0.1625,11.9239842376393,0.413218500750867,21,0.803571428571429
15,B4_K03_I01-03-08,Branch4,PowerREV,3,3,1/3/8,0/90/315,1,2,Location2,1,,141.969710009451,-4.73228037895821,-0.785,0.613977809045245,-0.0825,14.9759770901958,0.162861900536409,21,0.6875
15,B4_K03_I01-03-08,Branch4,PowerREV,3,3,1/3/8,0/90/315,1,3,Location3,1,,95.8891367114247,2.57918105164837,-0.1025,0.993714622011773,0.0449999999999999,8.47525337559886,0.589482760782865,21,1
